"cdCliente","Cliente","CanalAtendimento","cdCidade"
"56633","Cliente 9747","SM DE 02 A 04 CHECK-OUT","143"
"56674","Cliente 7346","SM DE 02 A 04 CHECK-OUT","52"
"56687","Cliente 4545","SM DE 02 A 04 CHECK-OUT","56"
"56704","Cliente 817","SM DE 02 A 04 CHECK-OUT","79"
"56706","Cliente 6672","SM DE 02 A 04 CHECK-OUT","120"
"56709","Cliente 9585","CONFEITARIA/PANIFICADORA","76"
"56719","Cliente 1697","ACOUGUE/VERDUREIRA","114"
"56764","Cliente 6317","MERCEARIA","33"
"56773","Cliente 10719","SM DE 02 A 04 CHECK-OUT","52"
"56775","Cliente 1074","MERCEARIA","77"
"56777","Cliente 3127","CONVENIENCIA","79"
"56779","Cliente 2101","CONVENIENCIA","160"
"56787","Cliente 1803","SM DE 02 A 04 CHECK-OUT","33"
"56806","Cliente 660","SM DE 02 A 04 CHECK-OUT","77"
"56810","Cliente 650","SM DE 02 A 04 CHECK-OUT","81"
"56817","Cliente 7520","SM DE 02 A 04 CHECK-OUT","162"
"56819","Cliente 4541","CONFEITARIA/PANIFICADORA","153"
"56839","Cliente 5769","SM DE 02 A 04 CHECK-OUT","144"
"56847","Cliente 10534","SM DE 02 A 04 CHECK-OUT","25"
"56856","Cliente 10215","CONFEITARIA/PANIFICADORA","17"
"56882","Cliente 6682","MERCEARIA","10"
"56886","Cliente 10240","SM DE 02 A 04 CHECK-OUT","79"
"56888","Cliente 6952","SM DE 02 A 04 CHECK-OUT","79"
"56892","Cliente 9166","MERCEARIA","25"
"56912","Cliente 8942","SM DE 02 A 04 CHECK-OUT","152"
"56916","Cliente 79","CONFEITARIA/PANIFICADORA","52"
"56932","Cliente 7181","CONFEITARIA/PANIFICADORA","79"
"56954","Cliente 3401","BARES TRADICIONAIS","25"
"56967","Cliente 5973","CONVENIENCIA","79"
"56970","Cliente 5010","FLORICULTURA/CESTAS","52"
"56976","Cliente 820","SM DE 02 A 04 CHECK-OUT","125"
"56978","Cliente 6167","ACOUGUE/VERDUREIRA","66"
"56992","Cliente 3443","SM DE 02 A 04 CHECK-OUT","164"
"57011","Cliente 6047","SM DE 02 A 04 CHECK-OUT","25"
"57013","Cliente 5884","MERCEARIA","63"
"57017","Cliente 5067","CONFEITARIA/PANIFICADORA","60"
"57034","Cliente 7694","CONFEITARIA/PANIFICADORA","17"
"57050","Cliente 4261","SM DE 10 A 19 CHECK-OUT","125"
"57051","Cliente 3722","MERCEARIA","71"
"57079","Cliente 7005","SM DE 10 A 19 CHECK-OUT","160"
"57080","Cliente 4488","SM DE 02 A 04 CHECK-OUT","162"
"57108","Cliente 6452","MERCEARIA","156"
"57128","Cliente 10565","SM DE 05 A 09 CHECK-OUT","52"
"57135","Cliente 10146","RESTAURANTE","87"
"57140","Cliente 2900","SM DE 02 A 04 CHECK-OUT","36"
"57144","Cliente 6597","CONFEITARIA/PANIFICADORA","125"
"57166","Cliente 344","MERCEARIA","72"
"57170","Cliente 9408","CONFEITARIA/PANIFICADORA","79"
"57202","Cliente 7817","CONFEITARIA/PANIFICADORA","10"
"57209","Cliente 3025","CONVENIENCIA","108"
"57223","Cliente 9392","BARES TRADICIONAIS","125"
"57229","Cliente 239","BARES TRADICIONAIS","79"
"57232","Cliente 11042","CONFEITARIA/PANIFICADORA","77"
"57235","Cliente 9230","MERCEARIA","77"
"57237","Cliente 10399","CONFEITARIA/PANIFICADORA","77"
"57248","Cliente 6037","CONVENIENCIA","110"
"57296","Cliente 1755","MERCEARIA","118"
"57300","Cliente 2503","CONFEITARIA/PANIFICADORA","79"
"57333","Cliente 4846","SM DE 02 A 04 CHECK-OUT","155"
"57354","Cliente 8343","BARES TRADICIONAIS","125"
"57366","Cliente 5862","BARES TRADICIONAIS","17"
"57371","Cliente 4826","SM DE 02 A 04 CHECK-OUT","66"
"57373","Cliente 3383","MERCEARIA","104"
"57375","Cliente 4344","CONFEITARIA/PANIFICADORA","45"
"57381","Cliente 5883","ACOUGUE/VERDUREIRA","47"
"57392","Cliente 1889","RESTAURANTE","71"
"57394","Cliente 10440","SM DE 02 A 04 CHECK-OUT","76"
"57396","Cliente 6571","CONFEITARIA/PANIFICADORA","47"
"57398","Cliente 897","SM DE 02 A 04 CHECK-OUT","40"
"57400","Cliente 3021","MERCEARIA","33"
"57419","Cliente 10295","SM DE 02 A 04 CHECK-OUT","79"
"57429","Cliente 1063","CONFEITARIA/PANIFICADORA","83"
"57453","Cliente 10730","SM DE 02 A 04 CHECK-OUT","79"
"57455","Cliente 8684","SM DE 02 A 04 CHECK-OUT","137"
"57463","Cliente 9329","SM DE 02 A 04 CHECK-OUT","51"
"57471","Cliente 6544","BARES TRADICIONAIS","160"
"57472","Cliente 7729","BOMBONIERE/BAZAR","34"
"57476","Cliente 3830","BARES TRADICIONAIS","71"
"57490","Cliente 5088","MERCEARIA","76"
"57501","Cliente 6836","CONFEITARIA/PANIFICADORA","154"
"57509","Cliente 3884","MERCEARIA","61"
"57524","Cliente 10963","SM DE 02 A 04 CHECK-OUT","25"
"57543","Cliente 8295","MERCEARIA","52"
"57547","Cliente 972","MERCEARIA","56"
"57563","Cliente 1541","ACOUGUE/VERDUREIRA","79"
"57583","Cliente 10389","SM DE 02 A 04 CHECK-OUT","71"
"57599","Cliente 11097","PRESTADORA DE SERVICOS","14"
"57604","Cliente 7164","MERCEARIA","144"
"57622","Cliente 3610","CONFEITARIA/PANIFICADORA","144"
"57644","Cliente 3051","SM DE 02 A 04 CHECK-OUT","33"
"57671","Cliente 741","MERCEARIA","25"
"57679","Cliente 8784","SM DE 10 A 19 CHECK-OUT","33"
"57694","Cliente 8200","MERCEARIA","102"
"57717","Cliente 7331","CONVENIENCIA","38"
"57728","Cliente 10388","SM DE 02 A 04 CHECK-OUT","25"
"57749","Cliente 4781","CONFEITARIA/PANIFICADORA","79"
"57759","Cliente 9099","SM DE 02 A 04 CHECK-OUT","31"
"57762","Cliente 3047","CONFEITARIA/PANIFICADORA","17"
"57770","Cliente 8372","SM DE 02 A 04 CHECK-OUT","115"
"57772","Cliente 10255","SM DE 02 A 04 CHECK-OUT","77"
"57779","Cliente 5336","CONFEITARIA/PANIFICADORA","152"
"57784","Cliente 9191","BARES TRADICIONAIS","2"
"57820","Cliente 3260","CONVENIENCIA","88"
"57833","Cliente 8402","SM DE 02 A 04 CHECK-OUT","66"
"57836","Cliente 1322","SM DE 10 A 19 CHECK-OUT","125"
"57843","Cliente 3542","MERCEARIA","114"
"57859","Cliente 1784","SM DE 02 A 04 CHECK-OUT","125"
"57869","Cliente 1242","SM DE 02 A 04 CHECK-OUT","25"
"57900","Cliente 9387","SM DE 02 A 04 CHECK-OUT","25"
"57921","Cliente 504","CONFEITARIA/PANIFICADORA","137"
"57933","Cliente 7369","SM DE 05 A 09 CHECK-OUT","137"
"57942","Cliente 889","SM DE 02 A 04 CHECK-OUT","79"
"57950","Cliente 5270","CONFEITARIA/PANIFICADORA","71"
"57953","Cliente 4757","CONVENIENCIA","79"
"57955","Cliente 2023","CONFEITARIA/PANIFICADORA","73"
"57963","Cliente 3473","CONFEITARIA/PANIFICADORA","72"
"57979","Cliente 7108","CINE FOTO","139"
"57989","Cliente 1653","SM DE 02 A 04 CHECK-OUT","157"
"57999","Cliente 6611","SM DE 02 A 04 CHECK-OUT","144"
"58006","Cliente 10753","SM DE 10 A 19 CHECK-OUT","77"
"58007","Cliente 552","SM DE 02 A 04 CHECK-OUT","155"
"58009","Cliente 9872","MERCEARIA","128"
"58011","Cliente 5096","CONFEITARIA/PANIFICADORA","125"
"58014","Cliente 18","MERCEARIA","47"
"58051","Cliente 218","MERCEARIA","72"
"58066","Cliente 9455","RESTAURANTE","8"
"58093","Cliente 525","SM DE 02 A 04 CHECK-OUT","25"
"58116","Cliente 10582","SM DE 02 A 04 CHECK-OUT","124"
"58162","Cliente 8820","RESTAURANTE","56"
"58193","Cliente 767","RESTAURANTE","92"
"58242","Cliente 3276","MERCEARIA","104"
"58258","Cliente 666","SM DE 05 A 09 CHECK-OUT","11"
"58263","Cliente 10245","BARES TRADICIONAIS","125"
"58290","Cliente 2985","CONFEITARIA/PANIFICADORA","52"
"58305","Cliente 8724","CONFEITARIA/PANIFICADORA","34"
"58309","Cliente 7405","CONFEITARIA/PANIFICADORA","100"
"58336","Cliente 1930","CONFEITARIA/PANIFICADORA","25"
"58354","Cliente 7410","MERCEARIA","137"
"58369","Cliente 3460","FARMACIA/DROGARIA","64"
"58397","Cliente 2706","SM DE 02 A 04 CHECK-OUT","25"
"58410","Cliente 37","SM DE 02 A 04 CHECK-OUT","104"
"58457","Cliente 3147","CONVENIENCIA","101"
"58463","Cliente 4891","MERCEARIA","44"
"58494","Cliente 10274","SM DE 02 A 04 CHECK-OUT","149"
"58503","Cliente 554","FARMACIA/DROGARIA","38"
"58517","Cliente 117","SM DE 05 A 09 CHECK-OUT","72"
"58530","Cliente 10172","SM DE 02 A 04 CHECK-OUT","56"
"58535","Cliente 10527","MERCEARIA","68"
"58550","Cliente 8836","SM DE 02 A 04 CHECK-OUT","130"
"58556","Cliente 7019","CONFEITARIA/PANIFICADORA","79"
"58569","Cliente 5374","ACOUGUE/VERDUREIRA","52"
"58586","Cliente 10140","SM DE 05 A 09 CHECK-OUT","125"
"58590","Cliente 6179","CONVENIENCIA","25"
"58622","Cliente 1469","MERCEARIA","70"
"58663","Cliente 911","MERCEARIA","52"
"58685","Cliente 3617","FARMACIA/DROGARIA","88"
"58688","Cliente 23","CONFEITARIA/PANIFICADORA","47"
"58697","Cliente 6974","SM DE 02 A 04 CHECK-OUT","79"
"58729","Cliente 10794","HOTEL/MOTEL","25"
"58730","Cliente 262","ATACADO","25"
"58769","Cliente 5900","CONFEITARIA/PANIFICADORA","52"
"58777","Cliente 9012","SM DE 02 A 04 CHECK-OUT","52"
"58779","Cliente 9327","RESTAURANTE","76"
"58781","Cliente 10596","SM DE 05 A 09 CHECK-OUT","79"
"58788","Cliente 9321","SM DE 02 A 04 CHECK-OUT","144"
"58792","Cliente 4255","CONVENIENCIA","88"
"58816","Cliente 1902","SM DE 05 A 09 CHECK-OUT","128"
"58838","Cliente 4877","CONFEITARIA/PANIFICADORA","124"
"58840","Cliente 4640","SM DE 05 A 09 CHECK-OUT","52"
"58863","Cliente 7594","SM DE 02 A 04 CHECK-OUT","128"
"58881","Cliente 1532","MERCEARIA","137"
"58888","Cliente 3865","CONFEITARIA/PANIFICADORA","25"
"58896","Cliente 6292","CONVENIENCIA","79"
"58908","Cliente 10259","MERCEARIA","17"
"58916","Cliente 5936","LOJA DE DEPARTAMENTO","33"
"58918","Cliente 11023","CONVENIENCIA","79"
"58934","Cliente 11102","SM DE 02 A 04 CHECK-OUT","3"
"58941","Cliente 3599","MERCEARIA","137"
"58975","Cliente 5064","MERCEARIA","71"
"58979","Cliente 4907","MERCEARIA","68"
"58988","Cliente 76","CONFEITARIA/PANIFICADORA","136"
"58996","Cliente 8010","SM DE 02 A 04 CHECK-OUT","52"
"59008","Cliente 1770","MERCEARIA","11"
"59032","Cliente 9440","CONFEITARIA/PANIFICADORA","24"
"59034","Cliente 11064","CONFEITARIA/PANIFICADORA","40"
"59036","Cliente 7358","SM DE 02 A 04 CHECK-OUT","71"
"59054","Cliente 6174","SM DE 02 A 04 CHECK-OUT","79"
"59090","Cliente 8762","SM DE 02 A 04 CHECK-OUT","134"
"59102","Cliente 7838","MERCEARIA","25"
"59110","Cliente 9060","SM DE 02 A 04 CHECK-OUT","33"
"59129","Cliente 6325","CONFEITARIA/PANIFICADORA","25"
"59141","Cliente 4411","CONVENIENCIA","25"
"59143","Cliente 8764","CONFEITARIA/PANIFICADORA","107"
"59165","Cliente 5386","SM DE 02 A 04 CHECK-OUT","160"
"59174","Cliente 1617","CONFEITARIA/PANIFICADORA","98"
"59190","Cliente 10812","MERCEARIA","159"
"59205","Cliente 1730","MERCEARIA","79"
"59207","Cliente 7864","CONFEITARIA/PANIFICADORA","71"
"59224","Cliente 9836","SM DE 02 A 04 CHECK-OUT","156"
"59238","Cliente 7427","CONFEITARIA/PANIFICADORA","96"
"59248","Cliente 9240","MERCEARIA","79"
"59251","Cliente 9362","RESTAURANTE","160"
"59257","Cliente 4627","SM DE 02 A 04 CHECK-OUT","79"
"59266","Cliente 6451","CONFEITARIA/PANIFICADORA","47"
"59280","Cliente 10404","SM DE 02 A 04 CHECK-OUT","46"
"59285","Cliente 10365","SM DE 02 A 04 CHECK-OUT","63"
"59289","Cliente 879","CONFEITARIA/PANIFICADORA","52"
"59292","Cliente 4772","SM DE 02 A 04 CHECK-OUT","79"
"59296","Cliente 4397","SM DE 02 A 04 CHECK-OUT","160"
"59302","Cliente 10358","SM DE 02 A 04 CHECK-OUT","132"
"59316","Cliente 8991","CONVENIENCIA","25"
"59329","Cliente 2229","SM DE 02 A 04 CHECK-OUT","160"
"59331","Cliente 3359","CONFEITARIA/PANIFICADORA","14"
"59338","Cliente 6403","MERCEARIA","79"
"59340","Cliente 6410","CONVENIENCIA","79"
"59355","Cliente 216","BARES TRADICIONAIS","79"
"59372","Cliente 7557","SM DE 02 A 04 CHECK-OUT","139"
"59391","Cliente 9627","BARES TRADICIONAIS","52"
"59400","Cliente 4434","CONVENIENCIA","79"
"59431","Cliente 6414","CONFEITARIA/PANIFICADORA","79"
"59483","Cliente 10929","MERCEARIA","160"
"59488","Cliente 2347","CONVENIENCIA","19"
"59497","Cliente 10736","SM DE 02 A 04 CHECK-OUT","104"
"59509","Cliente 3173","MERCEARIA","47"
"59519","Cliente 5315","MERCEARIA","88"
"59549","Cliente 2025","SM DE 02 A 04 CHECK-OUT","4"
"59555","Cliente 10683","CONFEITARIA/PANIFICADORA","47"
"59586","Cliente 2066","CONVENIENCIA","68"
"59614","Cliente 6648","CONVENIENCIA","56"
"59634","Cliente 1225","BARES TRADICIONAIS","25"
"59642","Cliente 10162","CONVENIENCIA","77"
"59690","Cliente 2943","BARES TRADICIONAIS","33"
"59721","Cliente 7393","MERCEARIA","22"
"59725","Cliente 1009","CONFEITARIA/PANIFICADORA","77"
"59727","Cliente 1968","CONFEITARIA/PANIFICADORA","79"
"59737","Cliente 10826","SM DE 02 A 04 CHECK-OUT","79"
"59739","Cliente 6906","CONFEITARIA/PANIFICADORA","34"
"59756","Cliente 5309","CONFEITARIA/PANIFICADORA","118"
"59770","Cliente 606","CONVENIENCIA","160"
"59775","Cliente 3534","MERCEARIA","25"
"59784","Cliente 2823","SM DE 02 A 04 CHECK-OUT","38"
"59794","Cliente 536","MERCEARIA","52"
"59803","Cliente 3651","MERCEARIA","81"
"59816","Cliente 3376","CONFEITARIA/PANIFICADORA","110"
"59826","Cliente 4714","CONVENIENCIA","71"
"59851","Cliente 661","CONFEITARIA/PANIFICADORA","17"
"59854","Cliente 3625","BARES TRADICIONAIS","68"
"59863","Cliente 1719","CONFEITARIA/PANIFICADORA","144"
"59865","Cliente 3411","SM DE 02 A 04 CHECK-OUT","155"
"59873","Cliente 7995","SM DE 02 A 04 CHECK-OUT","79"
"59878","Cliente 9954","CONFEITARIA/PANIFICADORA","155"
"59882","Cliente 10465","CONVENIENCIA","77"
"59886","Cliente 4039","CONFEITARIA/PANIFICADORA","63"
"59890","Cliente 4648","SM DE 05 A 09 CHECK-OUT","25"
"59891","Cliente 357","SM DE 02 A 04 CHECK-OUT","99"
"59900","Cliente 6313","CONVENIENCIA","125"
"59908","Cliente 10426","SM DE 10 A 19 CHECK-OUT","137"
"59917","Cliente 10246","SM DE 02 A 04 CHECK-OUT","106"
"59936","Cliente 680","CONFEITARIA/PANIFICADORA","98"
"59951","Cliente 2405","CONFEITARIA/PANIFICADORA","52"
"59961","Cliente 6418","MERCEARIA","136"
"59970","Cliente 8318","CONVENIENCIA","33"
"59974","Cliente 9206","SM DE 02 A 04 CHECK-OUT","68"
"59976","Cliente 10355","CONFEITARIA/PANIFICADORA","114"
"59978","Cliente 10123","HOTEL/MOTEL","29"
"59985","Cliente 9068","MERCEARIA","160"
"59987","Cliente 5934","CONVENIENCIA","76"
"60007","Cliente 8287","ACOUGUE/VERDUREIRA","68"
"60020","Cliente 2482","MERCEARIA","98"
"60027","Cliente 4310","MERCEARIA","161"
"60031","Cliente 10371","MERCEARIA","52"
"60039","Cliente 5091","CONVENIENCIA","77"
"60072","Cliente 6110","SM DE 02 A 04 CHECK-OUT","118"
"60078","Cliente 11328","SM DE 02 A 04 CHECK-OUT","76"
"60082","Cliente 4852","SM DE 02 A 04 CHECK-OUT","104"
"60093","Cliente 11311","BARES TRADICIONAIS","52"
"60095","Cliente 11519","ACOUGUE/VERDUREIRA","117"
"60108","Cliente 5969","SM DE 05 A 09 CHECK-OUT","52"
"60116","Cliente 4605","ACOUGUE/VERDUREIRA","144"
"60130","Cliente 6526","RESTAURANTE","114"
"60146","Cliente 10344","CONFEITARIA/PANIFICADORA","79"
"60157","Cliente 5996","ACOUGUE/VERDUREIRA","144"
"60165","Cliente 8965","MERCEARIA","33"
"60177","Cliente 9437","ACOUGUE/VERDUREIRA","88"
"60179","Cliente 5129","MERCEARIA","46"
"60194","Cliente 542","CONVENIENCIA","47"
"60196","Cliente 3505","QUIOSQUES","143"
"60240","Cliente 3431","SM DE 02 A 04 CHECK-OUT","79"
"60245","Cliente 9357","MERCEARIA","61"
"60248","Cliente 10430","CONFEITARIA/PANIFICADORA","137"
"60262","Cliente 4915","SM DE 02 A 04 CHECK-OUT","123"
"60309","Cliente 3251","SM DE 05 A 09 CHECK-OUT","104"
"60327","Cliente 6155","MERCEARIA","47"
"60335","Cliente 10367","CONVENIENCIA","62"
"60344","Cliente 7927","MERCEARIA","90"
"60346","Cliente 7308","SM DE 02 A 04 CHECK-OUT","25"
"60357","Cliente 464","SM DE 02 A 04 CHECK-OUT","79"
"60363","Cliente 5549","PESSOA FISICA","98"
"60364","Cliente 4800","SM DE 02 A 04 CHECK-OUT","123"
"60379","Cliente 10406","CONVENIENCIA","25"
"60393","Cliente 7293","CONFEITARIA/PANIFICADORA","17"
"60415","Cliente 485","HOTEL/MOTEL","56"
"60431","Cliente 266","CONFEITARIA/PANIFICADORA","144"
"60435","Cliente 692","CONVENIENCIA","25"
"60438","Cliente 2738","CONFEITARIA/PANIFICADORA","144"
"60441","Cliente 131","SM DE 02 A 04 CHECK-OUT","120"
"60445","Cliente 4635","CONFEITARIA/PANIFICADORA","79"
"60497","Cliente 3725","CONFEITARIA/PANIFICADORA","79"
"60499","Cliente 10379","SM DE 05 A 09 CHECK-OUT","96"
"60506","Cliente 3502","MERCEARIA","47"
"60512","Cliente 2038","SM DE 02 A 04 CHECK-OUT","133"
"60522","Cliente 5212","CONVENIENCIA","79"
"60529","Cliente 10093","BARES TRADICIONAIS","52"
"60530","Cliente 4078","CONVENIENCIA","77"
"60544","Cliente 4665","RESTAURANTE","125"
"60552","Cliente 4724","SM DE 10 A 19 CHECK-OUT","98"
"60558","Cliente 1843","SM DE 02 A 04 CHECK-OUT","160"
"60577","Cliente 356","CONFEITARIA/PANIFICADORA","144"
"60584","Cliente 4394","SM DE 02 A 04 CHECK-OUT","137"
"60604","Cliente 500","CONFEITARIA/PANIFICADORA","120"
"60610","Cliente 2758","SM DE 02 A 04 CHECK-OUT","137"
"60614","Cliente 10227","CONFEITARIA/PANIFICADORA","47"
"60646","Cliente 1806","MERCEARIA","128"
"60654","Cliente 7386","BARES TRADICIONAIS","52"
"60660","Cliente 3472","SM DE 02 A 04 CHECK-OUT","52"
"60667","Cliente 9132","SM DE 05 A 09 CHECK-OUT","144"
"60669","Cliente 8986","SM DE 02 A 04 CHECK-OUT","92"
"60670","Cliente 8816","SM ACIMA DE 20 CHECK-OUT","25"
"60695","Cliente 11112","CONVENIENCIA","155"
"60706","Cliente 7935","CONVENIENCIA","17"
"60721","Cliente 4402","CONVENIENCIA","77"
"60727","Cliente 259","SM DE 02 A 04 CHECK-OUT","148"
"60741","Cliente 4387","SM DE 05 A 09 CHECK-OUT","128"
"60742","Cliente 948","MERCEARIA","62"
"60780","Cliente 7020","MERCEARIA","134"
"60849","Cliente 6374","ATACADO","79"
"60867","Cliente 336","CONVENIENCIA","17"
"60877","Cliente 3131","CONVENIENCIA","25"
"60878","Cliente 5003","MERCEARIA","125"
"60904","Cliente 4242","MERCEARIA","47"
"60905","Cliente 10463","SM DE 05 A 09 CHECK-OUT","79"
"60907","Cliente 7434","SM DE 05 A 09 CHECK-OUT","79"
"60927","Cliente 4963","LIVRARIA/PAPELARIA","139"
"60948","Cliente 9809","MERCEARIA","104"
"60972","Cliente 3666","MERCEARIA","82"
"60974","Cliente 950","CONVENIENCIA","104"
"60986","Cliente 1547","CONVENIENCIA","110"
"61000","Cliente 2407","CONFEITARIA/PANIFICADORA","56"
"61004","Cliente 2983","SM DE 02 A 04 CHECK-OUT","52"
"61045","Cliente 563","SM DE 02 A 04 CHECK-OUT","165"
"61064","Cliente 3556","MERCEARIA","38"
"61090","Cliente 2571","BARES TRADICIONAIS","137"
"61103","Cliente 1139","SM DE 02 A 04 CHECK-OUT","52"
"61105","Cliente 3782","SM DE 02 A 04 CHECK-OUT","7"
"61109","Cliente 46","BARES TRADICIONAIS","17"
"61142","Cliente 1565","AGROPECUARIA/CACA E PESCA","106"
"61164","Cliente 5430","AGROPECUARIA/CACA E PESCA","77"
"61186","Cliente 9246","ACOUGUE/VERDUREIRA","38"
"61232","Cliente 4789","SM DE 02 A 04 CHECK-OUT","79"
"61245","Cliente 11165","MERCEARIA","25"
"61266","Cliente 10890","CONFEITARIA/PANIFICADORA","155"
"61283","Cliente 4528","SM DE 02 A 04 CHECK-OUT","118"
"61298","Cliente 1836","FARMACIA/DROGARIA","155"
"61332","Cliente 8907","SM DE 02 A 04 CHECK-OUT","160"
"61355","Cliente 10979","SM DE 02 A 04 CHECK-OUT","52"
"61367","Cliente 10745","MERCEARIA","25"
"61376","Cliente 716","RESTAURANTE","9"
"61390","Cliente 8730","CONVENIENCIA","77"
"61408","Cliente 10","CONVENIENCIA","72"
"61415","Cliente 3816","CONVENIENCIA","33"
"61420","Cliente 653","SM DE 02 A 04 CHECK-OUT","38"
"61425","Cliente 5781","SM DE 02 A 04 CHECK-OUT","25"
"61432","Cliente 10320","CLUBE/CANTINA","52"
"61526","Cliente 11179","SM DE 02 A 04 CHECK-OUT","73"
"61551","Cliente 4538","INDUSTRIA/EMPRESA","81"
"61556","Cliente 4067","CONVENIENCIA","38"
"61564","Cliente 1691","BARES TRADICIONAIS","25"
"61573","Cliente 8389","ATACADO","25"
"61579","Cliente 9681","RESTAURANTE","52"
"61587","Cliente 7401","SM DE 10 A 19 CHECK-OUT","153"
"61604","Cliente 1851","CONVENIENCIA","136"
"61611","Cliente 704","CONFEITARIA/PANIFICADORA","158"
"61620","Cliente 6355","SM ACIMA DE 20 CHECK-OUT","17"
"61640","Cliente 6830","CONVENIENCIA","144"
"61644","Cliente 5332","RESTAURANTE","72"
"61648","Cliente 21","CONVENIENCIA","79"
"61692","Cliente 9718","MERCEARIA","71"
"61700","Cliente 7721","CONVENIENCIA","71"
"61725","Cliente 3174","MERCEARIA","52"
"61742","Cliente 4527","SM DE 05 A 09 CHECK-OUT","155"
"61797","Cliente 193","BARES TRADICIONAIS","136"
"61820","Cliente 1626","ACOUGUE/VERDUREIRA","137"
"61826","Cliente 11202","CONVENIENCIA","71"
"61833","Cliente 5154","CONVENIENCIA","160"
"61856","Cliente 9482","MERCEARIA","72"
"61860","Cliente 9307","SM DE 02 A 04 CHECK-OUT","52"
"61883","Cliente 2768","SM ACIMA DE 20 CHECK-OUT","144"
"61885","Cliente 8420","SM DE 10 A 19 CHECK-OUT","52"
"61932","Cliente 10473","MERCEARIA","70"
"61943","Cliente 5532","ACOUGUE/VERDUREIRA","33"
"61972","Cliente 10627","SM DE 05 A 09 CHECK-OUT","19"
"61977","Cliente 3092","MERCEARIA","111"
"61995","Cliente 545","MERCEARIA","104"
"62028","Cliente 6083","CONVENIENCIA","25"
"62048","Cliente 6113","SM DE 02 A 04 CHECK-OUT","31"
"62049","Cliente 4865","BOMBONIERE/BAZAR","110"
"62107","Cliente 7330","MERCEARIA","17"
"62117","Cliente 10555","CONFEITARIA/PANIFICADORA","104"
"62141","Cliente 6691","HOTEL/MOTEL","110"
"62146","Cliente 2170","SM DE 02 A 04 CHECK-OUT","144"
"62165","Cliente 9949","SM DE 02 A 04 CHECK-OUT","79"
"62191","Cliente 7799","CONFEITARIA/PANIFICADORA","93"
"62196","Cliente 8832","SM DE 02 A 04 CHECK-OUT","144"
"62223","Cliente 4956","SORVETERIA","17"
"62233","Cliente 8826","CONFEITARIA/PANIFICADORA","52"
"62249","Cliente 7796","SM DE 02 A 04 CHECK-OUT","160"
"62267","Cliente 10294","SM DE 02 A 04 CHECK-OUT","52"
"62289","Cliente 6290","SM DE 02 A 04 CHECK-OUT","79"
"62291","Cliente 9252","CONFEITARIA/PANIFICADORA","79"
"62318","Cliente 9657","SM DE 02 A 04 CHECK-OUT","52"
"62342","Cliente 6703","CONVENIENCIA","155"
"62358","Cliente 3048","BARES TRADICIONAIS","17"
"62378","Cliente 6929","BARES TRADICIONAIS","79"
"62401","Cliente 6200","SM DE 02 A 04 CHECK-OUT","28"
"62443","Cliente 9255","CONVENIENCIA","137"
"62492","Cliente 12","CONVENIENCIA","52"
"62524","Cliente 11252","CONVENIENCIA","33"
"62528","Cliente 7715","CONFEITARIA/PANIFICADORA","79"
"62533","Cliente 3099","SM DE 02 A 04 CHECK-OUT","79"
"62536","Cliente 5584","CONFEITARIA/PANIFICADORA","110"
"62562","Cliente 6350","SM DE 02 A 04 CHECK-OUT","46"
"62600","Cliente 5117","MERCEARIA","52"
"62647","Cliente 4320","BANCA DE REVISTA","52"
"62667","Cliente 2599","MERCEARIA","61"
"62681","Cliente 3949","RESTAURANTE","25"
"62685","Cliente 2044","CONVENIENCIA","70"
"62710","Cliente 282","SM DE 02 A 04 CHECK-OUT","33"
"62722","Cliente 1967","CONVENIENCIA","25"
"62752","Cliente 5180","AGROPECUARIA/CACA E PESCA","114"
"62766","Cliente 6710","SM DE 02 A 04 CHECK-OUT","162"
"62777","Cliente 4694","SM DE 02 A 04 CHECK-OUT","25"
"62788","Cliente 9145","RESTAURANTE","25"
"62801","Cliente 3812","MERCEARIA","77"
"62805","Cliente 5786","AGROPECUARIA/CACA E PESCA","114"
"62832","Cliente 7775","MERCEARIA","125"
"62836","Cliente 11494","FARMACIA/DROGARIA","88"
"62846","Cliente 10139","ACADEMIA/PONTO SUOR","25"
"62901","Cliente 1528","MERCEARIA","17"
"62938","Cliente 9531","BARES TRADICIONAIS","25"
"62967","Cliente 11276","SM DE 02 A 04 CHECK-OUT","77"
"62988","Cliente 5932","CONVENIENCIA","79"
"62998","Cliente 3143","MERCEARIA","160"
"63000","Cliente 9226","BARES TRADICIONAIS","160"
"63006","Cliente 4521","MERCEARIA","149"
"63042","Cliente 5772","CONFEITARIA/PANIFICADORA","81"
"63049","Cliente 10747","CONFEITARIA/PANIFICADORA","52"
"63082","Cliente 6586","CONFEITARIA/PANIFICADORA","79"
"63095","Cliente 6375","SM DE 02 A 04 CHECK-OUT","158"
"63103","Cliente 1661","RESTAURANTE","79"
"63111","Cliente 2972","CONFEITARIA/PANIFICADORA","79"
"63123","Cliente 8478","RESTAURANTE","79"
"63125","Cliente 1858","CONVENIENCIA","46"
"63127","Cliente 5000","CONVENIENCIA","116"
"63160","Cliente 3685","SM DE 02 A 04 CHECK-OUT","160"
"63189","Cliente 10135","CONVENIENCIA","71"
"63194","Cliente 158","ACOUGUE/VERDUREIRA","79"
"63207","Cliente 2128","SM DE 02 A 04 CHECK-OUT","58"
"63223","Cliente 2145","BARES TRADICIONAIS","149"
